kBase,CTCF_Blocking,Residence_Min,Delta_SSIM
0.0003,0.5,56,0.072
0.0003,0.6,56,0.0715
0.0003,0.7,56,0.0711
0.0003,0.8,56,0.0707
0.0003,0.85,56,0.0705
0.0003,0.9,56,0.0703
0.0003,0.95,56,0.07
0.0003,1,56,0.0698
0.0005,0.5,33,0.072
0.0005,0.6,33,0.0716
0.0005,0.7,33,0.0711
0.0005,0.8,33,0.0707
0.0005,0.85,33,0.0705
0.0005,0.9,33,0.0703
0.0005,0.95,33,0.07
0.0005,1,33,0.0698
0.001,0.5,17,0.072
0.001,0.6,17,0.0716
0.001,0.7,17,0.0712
0.001,0.8,17,0.0708
0.001,0.85,17,0.0705
0.001,0.9,17,0.0703
0.001,0.95,17,0.0701
0.001,1,17,0.0698
0.002,0.5,8,0.0721
0.002,0.6,8,0.0717
0.002,0.7,8,0.0712
0.002,0.8,8,0.0708
0.002,0.85,8,0.0706
0.002,0.9,8,0.0704
0.002,0.95,8,0.0701
0.002,1,8,0.0699
0.003,0.5,6,0.0721
0.003,0.6,6,0.0717
0.003,0.7,6,0.0713
0.003,0.8,6,0.0709
0.003,0.85,6,0.0707
0.003,0.9,6,0.0704
0.003,0.95,6,0.0702
0.003,1,6,0.07
0.005,0.5,3,0.0723
0.005,0.6,3,0.0719
0.005,0.7,3,0.0714
0.005,0.8,3,0.071
0.005,0.85,3,0.0708
0.005,0.9,3,0.0706
0.005,0.95,3,0.0703
0.005,1,3,0.0701
0.008,0.5,2,0.0725
0.008,0.6,2,0.0721
0.008,0.7,2,0.0716
0.008,0.8,2,0.0712
0.008,0.85,2,0.071
0.008,0.9,2,0.0708
0.008,0.95,2,0.0705
0.008,1,2,0.0703
0.01,0.5,2,0.0726
0.01,0.6,2,0.0722
0.01,0.7,2,0.0718
0.01,0.8,2,0.0714
0.01,0.85,2,0.0711
0.01,0.9,2,0.0709
0.01,0.95,2,0.0707
0.01,1,2,0.0704